# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'ibs_op//'
# Total weight : 2183859
# Sort order   : local_weight,mem,sym,dso
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Shared Object     
# ........  ............  ............  .......................................  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ..................
#
     0.00%             9  0             L1 hit                                   [k] rcu_sched_clock_irq                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.00%             9  0             L1 hit                                   [k] set_ptes.isra.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [kernel.kallsyms] 
     0.00%             9  0             L1 hit                                   [k] tmigr_requires_handle_remote                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms] 
     0.00%             1  8             L2 hit                                   [k] mas_walk                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [kernel.kallsyms] 
     0.00%             1  8             L2 hit                                   [k] mod_memcg_lruvec_state                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [kernel.kallsyms] 
     0.00%             1  8             L2 hit                                   [k] record_times                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms] 
     0.00%             1  8             L2 hit                                   [k] task_tick_fair                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [kernel.kallsyms] 
     0.00%             1  8             L2 hit                                   [k] try_charge_memcg                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [kernel.kallsyms] 
     0.00%             8  0             N/A                                      [k] __cgroup_account_cputime_field                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [kernel.kallsyms] 
     0.00%             8  0             N/A                                      [k] __perf_event_task_sched_in                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [kernel.kallsyms] 
     0.00%             8  0             N/A                                      [k] __rb_insert_augmented                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [kernel.kallsyms] 
     0.00%             8  0             N/A                                      [k] irqtime_account_process_tick                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms] 
     0.00%             8  0             N/A                                      [k] os_acquire_spinlock                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [nvidia]          
     0.00%             8  0             N/A                                      [k] p4d_offset                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [kernel.kallsyms] 
     0.00%             8  0             N/A                                      [k] pick_eevdf                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [kernel.kallsyms] 
     0.00%             8  0             N/A                                      [k] pick_next_task_fair                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.00%             8  0             N/A                                      [k] psi_task_switch                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [kernel.kallsyms] 
     0.00%             8  0             N/A                                      [k] syscall_return_via_sysret                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [kernel.kallsyms] 
     0.00%             8  0             N/A                                      [k] x64_sys_call                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms] 
     0.00%             8  0             L1 hit                                   [k] __del_page_from_free_list                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [kernel.kallsyms] 
     0.00%             8  0             L1 hit                                   [k] avg_vruntime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms] 
     0.00%             8  0             L1 hit                                   [k] entry_SYSRETQ_unsafe_stack                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [kernel.kallsyms] 
     0.00%             8  0             L1 hit                                   [k] folio_add_new_anon_rmap                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [kernel.kallsyms] 
     0.00%             8  0             L1 hit                                   [k] folio_prealloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [kernel.kallsyms] 
     0.00%             8  0             L1 hit                                   [k] lock_vma_under_rcu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [kernel.kallsyms] 
     0.00%             8  0             L1 hit                                   [k] os_acquire_spinlock                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [nvidia]          
     0.00%             8  0             L1 hit                                   [k] vma_alloc_folio_noprof                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [kernel.kallsyms] 
     0.00%             1  7             L2 hit                                   [k] psi_account_irqtime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.00%             1  7             L2 hit                                   [k] record_times                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms] 
     0.00%             7  0             N/A                                      [k] __mod_zone_page_state                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [kernel.kallsyms] 
     0.00%             7  0             N/A                                      [k] _nv050215rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             7  0             N/A                                      [k] _nv050216rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             7  0             N/A                                      [k] delay_halt_mwaitx                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [kernel.kallsyms] 
     0.00%             7  0             N/A                                      [k] finish_task_switch.isra.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [kernel.kallsyms] 
     0.00%             7  0             N/A                                      [k] folio_add_lru                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [kernel.kallsyms] 
     0.00%             7  0             N/A                                      [k] perf_adjust_freq_unthr_context                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [kernel.kallsyms] 
     0.00%             7  0             N/A                                      [k] rb_next                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [kernel.kallsyms] 
     0.00%             7  0             N/A                                      [k] sched_clock_noinstr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.00%             7  0             N/A                                      [.] std::chrono::_V2::steady_clock::now()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         SysPulse_profiling
     0.00%             7  0             N/A                                      [k] usb_anchor_resume_wakeups                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [kernel.kallsyms] 
     0.00%             7  0             L1 hit                                   [k] __css_rstat_updated                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.00%             7  0             L1 hit                                   [k] __rcu_read_lock                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [kernel.kallsyms] 
     0.00%             7  0             L1 hit                                   [k] _nv028628rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             7  0             L1 hit                                   [k] _nv050215rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             7  0             L1 hit                                   [k] _nv055826rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             7  0             L1 hit                                   [k] pte_offset_map_lock                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.00%             7  0             L1 hit                                   [k] timerqueue_del                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [kernel.kallsyms] 
     0.00%             6  0             N/A                                      [k] __pte                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [kernel.kallsyms] 
     0.00%             6  0             N/A                                      [k] __schedule                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [kernel.kallsyms] 
     0.00%             6  0             N/A                                      [k] __x64_sys_clock_gettime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [kernel.kallsyms] 
     0.00%             6  0             N/A                                      [k] _nv049050rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             6  0             N/A                                      [k] _raw_spin_unlock_irqrestore                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [kernel.kallsyms] 
     0.00%             6  0             N/A                                      [k] acct_account_cputime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [kernel.kallsyms] 
     0.00%             6  0             N/A                                      [k] handle_edge_irq                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [kernel.kallsyms] 
     0.00%             6  0             N/A                                      [k] nft_do_chain                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [nf_tables]       
     0.00%             6  0             N/A                                      [k] page_ext_put                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms] 
     0.00%             6  0             N/A                                      [k] perf_adjust_freq_unthr_events                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [kernel.kallsyms] 
     0.00%             6  0             N/A                                      [k] perf_event_task_tick                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [kernel.kallsyms] 
     0.00%             6  0             N/A                                      [.] pthread_mutex_lock@@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               libc.so.6         
